Entity,Code,Year,Health expenditure per capita - Total
Argentina,ARG,2004,1041.893
Argentina,ARG,2005,1173.883
Argentina,ARG,2006,1272.771
Argentina,ARG,2007,1413.069
Argentina,ARG,2008,1537.76
Argentina,ARG,2009,1643.76
Argentina,ARG,2010,1780.712
Argentina,ARG,2011,1895.262
Argentina,ARG,2012,1942.246
Argentina,ARG,2013,1955.837
Argentina,ARG,2014,1859.764
Argentina,ARG,2015,1986.572
Argentina,ARG,2016,1729.939
Argentina,ARG,2017,2037.97
Argentina,ARG,2018,1783.826
Argentina,ARG,2019,1698.412
Argentina,ARG,2020,1617.303
Australia,AUS,1971,1003.471
Australia,AUS,1972,1031.394
Australia,AUS,1973,1083.934
Australia,AUS,1974,1203.78
Australia,AUS,1975,1356.216
Australia,AUS,1976,1393.174
Australia,AUS,1977,1449.995
Australia,AUS,1978,1456.751
Australia,AUS,1979,1457.81
Australia,AUS,1980,1481.476
Australia,AUS,1981,1533.005
Australia,AUS,1982,1531.905
Australia,AUS,1983,1578.136
Australia,AUS,1984,1612.443
Australia,AUS,1985,1656.433
Australia,AUS,1986,1713.429
Australia,AUS,1987,1748.303
Australia,AUS,1988,1816.941
Australia,AUS,1989,1857.564
Australia,AUS,1990,1890.798
Australia,AUS,1991,1935.431
Australia,AUS,1992,1992.681
Australia,AUS,1993,2044.871
Australia,AUS,1994,2122.61
Australia,AUS,1995,2196.56
Australia,AUS,1996,2296.52
Australia,AUS,1997,2375.648
Australia,AUS,1998,2502.14
Australia,AUS,1999,2619.126
Australia,AUS,2000,2743.373
Australia,AUS,2001,2857.745
Australia,AUS,2002,2991.203
Australia,AUS,2003,3134.231
Australia,AUS,2004,3336.89
Australia,AUS,2005,3397.453
Australia,AUS,2006,3525.739
Australia,AUS,2007,3660.746
Australia,AUS,2008,3806.53
Australia,AUS,2009,3886.496
Australia,AUS,2010,4009.337
Australia,AUS,2011,4138.934
Australia,AUS,2012,4137.163
Australia,AUS,2013,4179.616
Australia,AUS,2014,4637.524
Australia,AUS,2015,4776.158
Australia,AUS,2016,4896.125
Australia,AUS,2017,4992.317
Australia,AUS,2018,5071.227
Australia,AUS,2019,5083.313
Australia,AUS,2020,5467.369
Australia,AUS,2021,5838.528
Australia,AUS,2022,5449.61
Austria,AUT,1970,968.116
Austria,AUT,1971,1010.34
Austria,AUT,1972,1077.016
Austria,AUT,1973,1160.894
Austria,AUT,1974,1255.338
