Country Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Growth Rate,Entity_x,Year_x,Old-age dependency ratio,Entity_y,Year_y,Health expenditure per capita - Total,Entity,Year,life expectancy
Australia,AUS,881373,899536,923433,942415,960185,977432,997320,1006690,1019767,1035712,1052776,1088961,1115622,1144247,1186429,1218871,1253750,1290551,1330028,1371193,1413109,1455950,1498351,1535187,1573143,1619572,1674572,1730877,1785693,1839091,1891462,1946580,1999996,2048141,2094578,2140654,2188065,2231353,2271717,2311634,2353586,2403350,2450611,2499688,2549088,2603292,2660950,2730447,2806247,2895685,2988873,3091231,3211201,3330655,3442656,3554505,3671171,3791808,3911449,4036330,4163795,4255856,4396976,4591033,2.703009531,Australia,2023,26.8831,Australia,2022,5449.61,Australia,2021,84.5265
Austria,AUT,860524,878928,898020,915841,936614,957244,978106,1000197,1018862,1034829,1049485,1064442,1080261,1096182,1111743,1125355,1136141,1147984,1158395,1164840,1161312,1141746,1113686,1084521,1068509,1071290,1083883,1100211,1116913,1132630,1147285,1159444,1169363,1179619,1190567,1201547,1211342,1219469,1226129,1230840,1234825,1241307,1247289,1254514,1283726,1332035,1377293,1410610,1436181,1460838,1474940,1486532,1511436,1541634,1569952,1594112,1614979,1636075,1657643,1680979,1707529,1741111,1790922,1845652,1.138378283,Austria,2023,30.73231,Austria,2022,5683.874,Austria,2021,81.5797
Belgium,BEL,1097240,1112714,1131568,1150278,1172757,1198046,1222087,1246435,1265057,1280155,1293804,1307386,1324219,1340684,1356283,1370375,1380331,1392250,1406389,1419021,1423351,1409935,1385601,1357715,1343056,1354851,1378383,1402944,1432640,1461961,1489379,1517275,1543308,1567498,1591391,1617532,1644479,1670090,1691052,1708094,1722393,1736652,1752532,1768342,1785231,1799117,1805200,1811099,1826061,1848406,1874387,1917219,1954648,1986841,2019392,2053275,2083729,2113278,2146407,2184259,2216291,2249700,2305505,2375469,1.187169151,Belgium,2023,31.654547,Belgium,2022,5200.518,Belgium,2021,81.8787
Canada,CAN,1373988,1403696,1430816,1457626,1486945,1519291,1554147,1589852,1627125,1665076,1702610,1766603,1807017,1853794,1904131,1960638,2023124,2088928,2156552,2226949,2302843,2372841,2437150,2497221,2564911,2644549,2731762,2826979,2916234,3015241,3108392,3193415,3273903,3348713,3421278,3493208,3567354,3641718,3709339,3769484,3831961,3901811,3970627,4036510,4109249,4189873,4286048,4392065,4512061,4641806,4782476,4943180,5136379,5337214,5533521,5715952,5920483,6131419,6360963,6606057,6852162,7082514,7411781,7837408,2.869120249,Canada,2023,29.576546,Canada,2022,5330.794,Canada,2021,82.6565
Switzerland,CHE,545181,559029,573285,585732,600361,616424,632814,651177,668496,684706,701989,719731,738102,757758,777593,796685,813925,830957,847769,863081,874594,881727,887706,892608,898648,909843,924854,939272,952639,965476,977774,989335,1000176,1011277,1023303,1035840,1047749,1059282,1071731,1085388,1099734,1115409,1129663,1142456,1158212,1175897,1196852,1222961,1252711,1284448,1313796,1345943,1380632,1414537,1448097,1479382,1508286,1536158,1563463,1591310,1617570,1650844,1694534,1740343,1.805594256,Switzerland,2023,29.963114,Switzerland,2022,6927.356,Switzerland,2021,83.9872
Chile,CHL,269875,281619,293682,304775,315250,326355,336954,347526,358446,368869,379718,391601,403505,416658,431363,447461,463238,479643,498254,515991,533120,551814,571678,590956,610678,633048,658226,686106,716701,751140,789160,831127,877557,925216,972130,1017200,1059993,1102229,1143539,1183543,1225549,1268831,1311812,1354189,1395616,1437537,1480619,1523183,1567518,1616305,1665083,1716356,1772512,1834058,1900863,1972266,2050113,2132971,2219439,2308615,2392386,2471958,2554579,2644294,3.673044629,Chile,2023,19.830235,Chile,2022,2234.293,Chile,2021,78.9435
Colombia,COL,483718,496984,510651,524716,539123,553766,568723,584170,600185,616816,634444,653324,673486,695492,720199,747645,777784,810685,845268,879762,913512,946419,978093,1009087,1040770,1072878,1106595,1143135,1181678,1222460,1265292,1309973,1356430,1404534,1454080,1505096,1558399,1614733,1673755,1734348,1796356,1859916,1925097,1992936,2064865,2142141,2227730,2322571,2425276,2534861,2651315,2776240,2909381,3048419,3198493,3360281,3528041,3709331,3907954,4117384,4315004,4492093,4668152,4880416,3.82342567,Colombia,2023,13.383401,Colombia,2022,1272.035,Colombia,2021,72.8296
Costa Rica,CRI,41006,42607,44240,45925,47697,49589,51640,53858,56243,58788,61456,64301,67307,70534,74006,77648,81545,85745,90220,94719,99146,103677,108401,113300,118334,123479,128840,134497,140469,146781,153457,160490,167811,175401,183118,190853,198768,207005,215377,223944,232978,242344,252148,262422,272962,283843,295099,306709,318711,331388,344865,359548,375454,392202,409296,426382,444267,463062,482517,502631,523496,542726,560871,583957,4.343509556,Costa Rica,2023,16.97777,Costa Rica,2022,1461.377,Costa Rica,2021,77.0232
Czechia,CZE,898694,921109,947665,975279,1006940,1041130,1076569,1111929,1144379,1172308,1188634,1205041,1232978,1261604,1288388,1314194,1337914,1358592,1377119,1390161,1380452,1346082,1303104,1256644,1225398,1222227,1233786,1250649,1270492,1287713,1296781,1304460,1316852,1330052,1343713,1358482,1373717,1387545,1398438,1406165,1409154,1408548,1408868,1411571,1418957,1435173,1459264,1491494,1535021,1580946,1619567,1669208,1734512,1796560,1853345,1907623,1961301,2015306,2066645,2115195,2157212,2148702,2203094,2260379,1.345568648,Czechia,2023,32.199486,Czechia,2022,3559.401,Czechia,2021,77.7283
Germany,DEU,8395071,8586936,8800650,9017379,9250865,9503893,9764794,10008924,10225305,10460618,10667691,10865794,11108821,11345814,11558243,11698983,11797259,11938938,12101684,12239744,12280300,12126740,11836431,11511791,11302238,11314366,11436521,11539205,11619608,11713955,11835053,11964710,12117545,12296458,12466086,12643028,12802377,12911904,13001027,13188032,13509223,13885440,14281833,14692082,15160571,15663458,16113222,16407189,16577244,16714523,16727061,16379675,16451478,16587745,16798918,17113731,17405321,17614700,17824018,18056342,18265233,18444791,18781831,19217116,1.221363701,Germany,2023,35.972492,Germany,2022,6448.205,Germany,2021,80.6301
